amount,destination_transactions_last_24h,destination_transactions_last_7d,destination_avg_previous_amount,destination_amount_deviation,destination_is_first_transaction,origin_balance_error,destination_balance_error,destination_balance_is_zero,total_transactions,total_transaction_amount,avg_transaction_amount,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,actual_fraud
101013.32,0.0,0.0,0.0,101013.32,1,0.0,101013.32,1,12,5299923.58,441660.29833333334,False,False,False,False,True,1
2740879.15,0.0,3.0,275160.93999999994,2465718.21,0,0.0,0.0,0,16604,2252761583.91,135675.83617863164,False,True,False,False,False,1
6515.64,0.0,3.0,40964.01,-34448.37,0,0.0,-0.00999999999839929,0,10,4839777.76,483977.77599999995,False,True,False,False,False,1
192815.77,0.0,0.0,0.0,192815.77,1,0.0,192815.77,1,37127,5531479167.98,148988.04557276375,False,False,False,False,True,1
99458.21,1.0,2.0,212530.42,-113072.21,0,0.0,0.0,0,41759,5847754144.07,140035.78016882588,False,True,False,False,False,1
59829.03,0.0,0.0,0.0,59829.03,1,0.0,0.0,0,12,5299923.58,441660.29833333334,False,True,False,False,False,1
3724.3,0.0,6.0,215596.71375,-211872.41375,0,0.0,-5.820766091346741e-11,0,26103,5510846318.73,211119.270533272,False,True,False,False,False,1
282332.91,0.0,0.0,0.0,282332.91,1,0.0,282332.91,1,15096,2291105832.49,151769.06680511392,False,False,False,False,True,1
10000000.0,0.0,0.0,0.0,10000000.0,1,-4.656612873077393e-10,10000000.0,1,25429,6337254252.83,249213.66364505092,False,False,False,False,True,1
283429.1,0.0,0.0,0.0,283429.1,1,0.0,0.009999999951105565,0,40696,6965215256.25,171152.33084946923,False,True,False,False,False,1
114308.2,0.0,0.0,0.0,114308.2,1,0.0,114308.2,1,14,2872763.5,205197.39285714287,False,False,False,False,True,1
3309631.1,0.0,0.0,0.0,3309631.1,1,0.0,0.0,0,29552,5701716349.72,192938.42547780185,False,True,False,False,False,1
183385.35,0.0,0.0,0.0,183385.35,1,0.0,183385.35,1,12023,1737107629.18,144482.04517840807,False,False,False,False,True,1
245970.86,0.0,0.0,0.0,245970.86,1,0.0,245970.86,1,28,147237648.39,5258487.4425,False,False,False,False,True,1
4525901.25,0.0,0.0,0.0,4525901.25,1,0.0,4525901.25,1,12,17235988.42,1436332.3683333334,False,False,False,False,True,1
4309298.47,0.0,0.0,0.0,4309298.47,1,0.0,0.0,0,26656,5024591202.61,188497.5691255252,False,True,False,False,False,1
882011.04,0.0,0.0,0.0,882011.04,1,0.0,882011.04,1,3508,475026460.95,135412.33208380843,False,False,False,False,True,1
1806516.34,0.0,1.0,158524.38000000012,1647991.96,0,0.0,0.0,0,33468,5718920109.12,170877.25914664753,False,True,False,False,False,1
1303543.6,0.0,0.0,0.0,1303543.6,1,0.0,0.0,0,28959,6433780283.85,222168.5929710971,False,True,False,False,False,1
2231580.5,1.0,5.0,751118.5437500001,1480461.9562499998,0,0.0,0.0,0,6,5246154.58,874359.0966666667,False,True,False,False,False,1
233699.25,0.0,0.0,0.0,233699.25,1,0.0,0.0,0,34075,6436763739.34,188899.88963580338,False,True,False,False,False,1
2056779.24,0.0,1.0,69014.51333333326,1987764.7266666668,0,0.0,0.0,0,7991,1081719923.47,135367.27862219998,False,True,False,False,False,1
9725837.08,1.0,1.0,61525.13000000082,9664311.95,0,0.0,0.0,0,26656,5024591202.61,188497.5691255252,False,True,False,False,False,1
19511.35,0.0,0.0,0.0,19511.35,1,0.0,19511.35,1,33468,5718920109.12,170877.25914664753,False,False,False,False,True,1
4737833.35,0.0,0.0,0.0,4737833.35,1,0.0,4737833.35,1,12023,1737107629.18,144482.04517840807,False,False,False,False,True,1
106596.14,0.0,0.0,0.0,106596.14,1,0.0,106596.14,1,12023,1737107629.18,144482.04517840807,False,False,False,False,True,1
243118.94,0.0,3.0,144615.85749999998,98503.08250000002,0,0.0,0.0,0,25429,6337254252.83,249213.66364505092,False,True,False,False,False,1
173668.46,0.0,2.0,324275.38,-150606.92,0,0.0,0.0,0,10,25595859.9,2559585.9899999998,False,True,False,False,False,1
626673.66,2.0,4.0,266216.69999999995,360456.9600000001,0,0.0,0.0,0,41759,5847754144.07,140035.78016882588,False,True,False,False,False,1
17216.14,0.0,0.0,0.0,17216.14,1,0.0,17216.14,1,41759,5847754144.07,140035.78016882588,False,False,False,False,True,1
184588.59,0.0,1.0,169445.8075,15142.782500000001,0,0.0,0.0,0,12023,1737107629.18,144482.04517840807,False,True,False,False,False,1
54892.98,0.0,1.0,122037.87000000002,-67144.89000000001,0,0.0,0.0,0,1441,170127306.87,118061.97562109647,False,True,False,False,False,1
236388.4,0.0,0.0,0.0,236388.4,1,0.0,236388.4,1,18,34064057.06,1892447.6144444447,False,False,False,False,True,1
200418.1,0.0,5.0,151808.4269230769,48609.67307692309,0,0.0,0.0,0,27727,5003598395.76,180459.42207090562,False,True,False,False,False,1
70756.72,0.0,0.0,0.0,70756.72,1,0.0,70756.72,1,16604,2252761583.91,135675.83617863164,False,False,False,False,True,1
2374412.42,0.0,0.0,0.0,2374412.42,1,0.0,2374412.42,1,3588,443414417.79,123582.61365384616,False,False,False,False,True,1
231978.48,0.0,0.0,0.0,231978.48,1,0.0,231978.48,1,14490,3283341857.45,226593.6409558316,False,False,False,False,True,1
2056779.24,0.0,0.0,0.0,2056779.24,1,0.0,2056779.24,1,7991,1081719923.47,135367.27862219998,False,False,False,False,True,1
653151.55,0.0,0.0,0.0,653151.55,1,0.0,653151.55,1,15096,2291105832.49,151769.06680511392,False,False,False,False,True,1
173668.46,0.0,0.0,0.0,173668.46,1,0.0,173668.46,1,10,25595859.9,2559585.9899999998,False,False,False,False,True,1
283976.3,0.0,0.0,0.0,283976.3,1,0.0,283976.3,1,25429,6337254252.83,249213.66364505092,False,False,False,False,True,1
2983996.6,0.0,0.0,0.0,2983996.6,1,0.0,2983996.6,1,41759,5847754144.07,140035.78016882588,False,False,False,False,True,1
127018.14,0.0,0.0,0.0,127018.14,1,0.0,0.0,0,14,2872763.5,205197.39285714287,False,True,False,False,False,1
78357.77,0.0,0.0,0.0,78357.77,1,0.0,78357.77,1,3508,475026460.95,135412.33208380843,False,False,False,False,True,1
1500582.08,0.0,3.0,8294119.206666666,-6793537.126666666,0,0.0,3.725290298461914e-09,0,633,131912135.28,208391.99886255924,False,True,False,False,False,1
540530.08,1.0,7.0,285981.6542857143,254548.42571428564,0,0.0,0.0,0,12,5299923.58,441660.29833333334,False,True,False,False,False,1
10000000.0,0.0,0.0,0.0,10000000.0,1,4.656612873077393e-10,10000000.0,1,16604,2252761583.91,135675.83617863164,False,False,False,False,True,1
88748.63,0.0,4.0,178888.7625,-90140.1325,0,0.0,0.0,0,320,37511725.73,117224.14290625,False,True,False,False,False,1
387408.11,0.0,0.0,0.0,387408.11,1,0.0,387408.11,1,30348,5915512509.77,194922.64761335182,False,False,False,False,True,1
164382.72,0.0,0.0,0.0,164382.72,1,0.0,164382.72,1,10,4839777.76,483977.77599999995,False,False,False,False,True,1
2567602.1,0.0,0.0,0.0,2567602.1,1,0.0,2567602.1,1,8256,1019370201.37,123470.22787911822,False,False,False,False,True,1
128936.95,0.0,0.0,0.0,128936.95,1,0.0,128936.95,1,14670,3775109118.91,257335.31826244036,False,False,False,False,True,1
1465173.76,0.0,0.0,0.0,1465173.76,1,0.0,1465173.76,1,11829,1657430074.48,140115.8233561586,False,False,False,False,True,1
10000000.0,0.0,2.0,101157.34999999963,9898842.65,0,0.0,0.0,0,28,147237648.39,5258487.4425,False,True,False,False,False,1
51113.0,0.0,0.0,0.0,51113.0,1,0.0,51113.0,1,30910,5608205263.28,181436.59861792298,False,False,False,False,True,1
4257337.62,0.0,0.0,0.0,4257337.62,1,0.0,4257337.62,1,40218,6596385476.64,164015.75107265403,False,False,False,False,True,1
29225.91,0.0,0.0,0.0,29225.91,1,0.0,29225.91,1,22797,3912610392.82,171628.30165460368,False,False,False,True,False,0
10702.58,0.0,12.0,610351.5857500001,-599649.0057500001,0,-10702.58,0.0,0,33528,4693535568.26,139988.53400918635,False,True,False,False,False,0
19242.36,0.0,0.0,0.0,19242.36,1,0.0,19242.36,1,27727,5003598395.76,180459.42207090562,False,False,False,True,False,0
224751.9,1.0,6.0,202246.34416666665,22505.555833333347,0,-449503.80000000075,449503.80000000005,0,30348,5915512509.77,194922.64761335182,True,False,False,False,False,0
12944.17,0.0,0.0,0.0,12944.17,1,-12944.17,12944.17,1,26103,5510846318.73,211119.270533272,False,False,False,True,False,0
241103.64,0.0,1.0,105820.48,135283.16000000003,0,-241103.64,0.0,0,20122,6138973352.87,305087.63308170164,False,False,False,False,True,0
9656.21,0.0,0.0,0.0,9656.21,1,-9444.21,9656.21,1,11829,1657430074.48,140115.8233561586,False,False,False,True,False,0
14431.2,0.0,0.0,0.0,14431.2,1,-8487.86,14431.2,1,30910,5608205263.28,181436.59861792298,False,False,False,True,False,0
119004.58,1.0,1.0,613519.43,-494514.85000000003,0,-119004.58,-0.010000000009313226,0,28388,5968864151.18,210260.11523108356,False,True,False,False,False,0
125221.03,0.0,6.0,136972.40666666665,-11751.376666666649,0,-250442.06,250442.05999999997,0,25429,6337254252.83,249213.66364505092,True,False,False,False,False,0
6447.53,0.0,0.0,0.0,6447.53,1,0.0,6447.53,1,26656,5024591202.61,188497.5691255252,False,False,False,True,False,0
47245.29,0.0,0.0,0.0,47245.29,1,0.010000000009313226,47245.29,1,19269,4577025882.6,237533.13003269501,False,False,False,True,False,0
4331.02,0.0,0.0,0.0,4331.02,1,0.0,4331.02,1,3588,443414417.79,123582.61365384616,False,False,False,True,False,0
125466.32,1.0,1.0,141704.03999999998,-16237.719999999972,0,-125466.32,-0.010000000009313226,0,37693,4803245990.13,127430.71631682276,False,True,False,False,False,0
5311.11,0.0,0.0,0.0,5311.11,1,-5311.11,5311.11,1,15096,2291105832.49,151769.06680511392,False,False,False,True,False,0
21084.42,0.0,0.0,0.0,21084.42,1,-21084.42,21084.42,1,20122,6138973352.87,305087.63308170164,False,False,False,True,False,0
2595.39,0.0,0.0,0.0,2595.39,1,-10.389999999999873,2595.39,1,7937,970894107.08,122325.07333753307,False,False,False,True,False,0
30170.02,1.0,2.0,210833.805,-180663.785,0,-60340.050000000745,60340.03999999998,0,33468,5718920109.12,170877.25914664753,True,False,False,False,False,0
40030.3,0.0,0.0,0.0,40030.3,1,-28268.300000000003,40030.3,1,34075,6436763739.34,188899.88963580338,False,False,False,True,False,0
281048.58,2.0,6.0,240529.78333333333,40518.79666666669,0,-562097.1600000001,562097.1700000002,0,28959,6433780283.85,222168.5929710971,True,False,False,False,False,0
12120.21,0.0,0.0,0.0,12120.21,1,0.0,12120.21,1,12050,1754502433.76,145601.86172282157,False,False,False,True,False,0
108883.49,0.0,0.0,0.0,108883.49,1,-217766.97999999998,217766.9699999988,0,29467,7929207505.03,269087.7084545424,True,False,False,False,False,0
35612.31,0.0,0.0,0.0,35612.31,1,-35612.31,0.0,0,37127,5531479167.98,148988.04557276375,False,True,False,False,False,0
240064.28,1.0,7.0,204296.63079999998,35767.649200000014,0,-480128.5599999996,480128.56000000006,0,37127,5531479167.98,148988.04557276375,True,False,False,False,False,0
126409.06,0.0,1.0,240417.36,-114008.29999999999,0,-252818.12,252818.12,0,12023,1737107629.18,144482.04517840807,True,False,False,False,False,0
497028.92,1.0,4.0,330070.28500000003,166958.63499999995,0,-487915.92,0.0,0,27139,5047833554.76,185999.2466472604,False,True,False,False,False,0
8404.89,0.0,0.0,0.0,8404.89,1,-6291.889999999999,8404.89,1,27139,5047833554.76,185999.2466472604,False,False,False,True,False,0
166070.22,0.0,0.0,0.0,166070.22,1,-61184.22,0.0,0,37127,5531479167.98,148988.04557276375,False,True,False,False,False,0
107131.98,0.0,4.0,223923.36833333332,-116791.38833333332,0,-214263.96,214263.95999999996,0,34075,6436763739.34,188899.88963580338,True,False,False,False,False,0
243350.06,0.0,0.0,0.0,243350.06,1,-486700.12,248438.06,0,33468,5718920109.12,170877.25914664753,True,False,False,False,False,0
67404.03,0.0,0.0,0.0,67404.03,1,-67404.03,0.0,0,30348,5915512509.77,194922.64761335182,False,True,False,False,False,0
29572.22,0.0,0.0,0.0,29572.22,1,-29572.22,29572.22,1,8256,1019370201.37,123470.22787911822,False,False,False,True,False,0
101411.13,0.0,2.0,139737.405,-38326.274999999994,0,-202822.26,-824094.26,0,27139,5047833554.76,185999.2466472604,True,False,False,False,False,0
15700.08,0.0,0.0,0.0,15700.08,1,0.0,15700.08,1,40696,6965215256.25,171152.33084946923,False,False,False,True,False,0
208542.88,1.0,6.0,88869.90428571428,119672.97571428573,0,-168730.88,0.010000000009313226,0,28388,5968864151.18,210260.11523108356,False,True,False,False,False,0
40267.06,0.0,0.0,0.0,40267.06,1,-40267.06,40267.06,1,33468,5718920109.12,170877.25914664753,False,False,False,True,False,0
20563.12,0.0,0.0,0.0,20563.12,1,-20563.12,20563.12,1,30420,6779388634.99,222859.58694904667,False,False,False,True,False,0
54624.34,0.0,1.0,169644.7916666667,-115020.45166666669,0,-54624.34,-0.009999999980209395,0,28959,6433780283.85,222168.5929710971,False,True,False,False,False,0
245299.6,0.0,2.0,283004.33,-37704.73000000001,0,-490599.18999999994,490599.19,0,7991,1081719923.47,135367.27862219998,True,False,False,False,False,0
638843.31,0.0,0.0,0.0,638843.31,1,-585313.31,0.0,0,26073,5826660716.37,223474.88652514096,False,True,False,False,False,0
251077.37,0.0,6.0,332715.7642857143,-81638.39428571431,0,-251077.37,0.0,0,30910,5608205263.28,181436.59861792298,False,True,False,False,False,0
13235.38,0.0,0.0,0.0,13235.38,1,-13235.38,13235.38,1,18183,2963739223.12,162995.06259253147,False,False,False,True,False,0
243159.46,0.0,4.0,112142.29454545454,131017.16545454545,0,7.275957614183426e-12,0.0,0,45155,6746761157.95,149413.37964677223,False,True,False,False,False,0
10761.1,0.0,0.0,0.0,10761.1,1,-3.623767952376511e-13,10761.1,1,19269,4577025882.6,237533.13003269501,False,False,False,True,False,0
8962.68,0.0,0.0,0.0,8962.68,1,-8962.68,8962.68,1,28388,5968864151.18,210260.11523108356,False,False,False,True,False,0
58325.6,0.0,0.0,0.0,58325.6,1,-52968.6,58325.6,1,30910,5608205263.28,181436.59861792298,False,False,False,True,False,0
162640.87,0.0,1.0,156745.75666666668,5895.113333333313,0,-162640.87,0.010000000009313226,0,30910,5608205263.28,181436.59861792298,False,False,False,False,True,0
326606.03,0.0,5.0,127092.204,199513.82600000003,0,-653212.05,653212.06,0,30222,6964456131.76,230443.2576189531,True,False,False,False,False,0
239052.51,0.0,0.0,0.0,239052.51,1,0.0,0.0,0,30348,5915512509.77,194922.64761335182,False,True,False,False,False,0
164926.06,0.0,4.0,202308.7717647059,-37382.71176470589,0,-163805.06,-0.010000000009313226,0,26103,5510846318.73,211119.270533272,False,True,False,False,False,0
331954.59,0.0,5.0,565007.2187500001,-233052.6287500001,0,-316480.59,0.0,0,33468,5718920109.12,170877.25914664753,False,True,False,False,False,0
36515.45,0.0,0.0,0.0,36515.45,1,5.4569682106375694e-12,36515.45,1,27727,5003598395.76,180459.42207090562,False,False,False,True,False,0
194657.17,1.0,4.0,228442.37749999997,-33785.20749999996,0,-389314.33999999985,389314.33999999997,0,29467,7929207505.03,269087.7084545424,True,False,False,False,False,0
95916.55,0.0,1.0,290892.26,-194975.71000000002,0,-191833.09999999986,191833.1,0,30348,5915512509.77,194922.64761335182,True,False,False,False,False,0
6661.43,0.0,0.0,0.0,6661.43,1,1.1368683772161603e-13,6661.43,1,12023,1737107629.18,144482.04517840807,False,False,False,True,False,0
208400.45,0.0,4.0,188547.83000000002,19852.619999999995,0,-416800.8999999985,416800.9,0,30223,5917459225.07,195793.24438573272,True,False,False,False,False,0
38449.45,0.0,8.0,326128.16451612907,-287678.71451612905,0,-76898.9,-164462.1200000001,0,37693,4803245990.13,127430.71631682276,True,False,False,False,False,0
75247.12,2.0,4.0,261835.73500000002,-186588.61500000002,0,-68218.12,0.0,0,44787,7234253609.7,161525.74652689396,False,True,False,False,False,0
16669.65,0.0,5.0,138208.81636363638,-121539.16636363638,0,-33339.299999999814,33339.30000000005,0,37693,4803245990.13,127430.71631682276,True,False,False,False,False,0
102917.93,1.0,1.0,191976.28999999998,-89058.35999999999,0,-102917.93,0.0,0,30420,6779388634.99,222859.58694904667,False,True,False,False,False,0
24046.91,0.0,0.0,0.0,24046.91,1,0.00999999999476131,24046.91,1,26103,5510846318.73,211119.270533272,False,False,False,True,False,0
20669.79,0.0,0.0,0.0,20669.79,1,-5761.790000000001,0.0,0,26656,5024591202.61,188497.5691255252,False,True,False,False,False,0
395063.77,0.0,2.0,25996.294999999984,369067.47500000003,0,-394826.77,5.820766091346741e-11,0,34075,6436763739.34,188899.88963580338,False,True,False,False,False,0
2333.61,0.0,0.0,0.0,2333.61,1,-747.6100000000001,2333.61,1,26103,5510846318.73,211119.270533272,False,False,False,True,False,0
20390.56,0.0,0.0,0.0,20390.56,1,0.00999999999839929,20390.56,1,27727,5003598395.76,180459.42207090562,False,False,False,True,False,0
266133.77,0.0,3.0,226873.44125,39260.328750000015,0,-141891.77000000002,1.1641532182693481e-10,0,29515,5506549073.95,186567.81548195833,False,True,False,False,False,0
80880.73,0.0,6.0,269321.2175,-188440.48750000005,0,-80131.73,-0.010000000009313226,0,40696,6965215256.25,171152.33084946923,False,True,False,False,False,0
10926.36,0.0,0.0,0.0,10926.36,1,0.0,10926.36,1,14961,2043308095.19,136575.63633380123,False,False,False,True,False,0
161355.11,0.0,0.0,0.0,161355.11,1,-140213.11,-5.820766091346741e-11,0,37127,5531479167.98,148988.04557276375,False,True,False,False,False,0
310227.94,0.0,0.0,0.0,310227.94,1,-620455.88,310227.94,1,28959,6433780283.85,222168.5929710971,True,False,False,False,False,0
172109.14,0.0,0.0,0.0,172109.14,1,-344218.28,172109.14,1,25429,6337254252.83,249213.66364505092,True,False,False,False,False,0
26986.52,0.0,0.0,0.0,26986.52,1,2.9103830456733704e-11,26986.52,1,45155,6746761157.95,149413.37964677223,False,False,False,True,False,0
499274.77,0.0,4.0,282712.416,216562.354,0,-499119.77,-2.3283064365386963e-10,0,26103,5510846318.73,211119.270533272,False,False,False,False,True,0
21503.46,0.0,0.0,0.0,21503.46,1,-19880.46,21503.46,1,19269,4577025882.6,237533.13003269501,False,False,False,True,False,0
10679.44,0.0,0.0,0.0,10679.44,1,0.00999999999476131,10679.44,1,29515,5506549073.95,186567.81548195833,False,False,False,True,False,0
243534.36,2.0,3.0,257879.32428571428,-14344.96428571429,0,-243534.36,-1.1641532182693481e-10,0,37693,4803245990.13,127430.71631682276,False,True,False,False,False,0
82617.08,1.0,5.0,209474.66133333332,-126857.58133333332,0,-82617.08,-0.010000001639127731,0,30348,5915512509.77,194922.64761335182,False,True,False,False,False,0
7766.37,0.0,0.0,0.0,7766.37,1,-7766.37,7766.37,1,30348,5915512509.77,194922.64761335182,False,False,False,True,False,0
86373.71,1.0,5.0,426481.63,-340107.92,0,-66124.71,0.010000001639127731,0,44787,7234253609.7,161525.74652689396,False,True,False,False,False,0
145917.04,0.0,8.0,225667.01153846152,-79749.97153846151,0,-145917.04,0.0,0,33528,4693535568.26,139988.53400918635,False,True,False,False,False,0
984363.05,0.0,0.0,0.0,984363.05,1,-982845.05,0.0,0,29515,5506549073.95,186567.81548195833,False,False,False,False,True,0
67835.71,0.0,2.0,153222.79499999998,-85387.08499999998,0,-67835.71,2.9103830456733704e-11,0,45155,6746761157.95,149413.37964677223,False,True,False,False,False,0
202580.38,1.0,1.0,137051.08999999997,65529.29000000004,0,-187270.38,0.009999999951105565,0,28388,5968864151.18,210260.11523108356,False,True,False,False,False,0
148841.54,0.0,3.0,216159.398,-67317.85799999998,0,-148160.54,0.0,0,26927,5172213957.19,192082.8149140268,False,True,False,False,False,0
60172.67,0.0,0.0,0.0,60172.67,1,-44862.67,0.0,0,41759,5847754144.07,140035.78016882588,False,True,False,False,False,0
85999.9,0.0,0.0,0.0,85999.9,1,-24646.899999999994,-1.4551915228366852e-11,0,3588,443414417.79,123582.61365384616,False,True,False,False,False,0
74533.24,0.0,1.0,54345.74,20187.500000000007,0,-74533.24,-0.009999999980209395,0,28959,6433780283.85,222168.5929710971,False,False,False,False,True,0
15139.57,0.0,0.0,0.0,15139.57,1,-14952.57,15139.57,1,33468,5718920109.12,170877.25914664753,False,False,False,True,False,0
169771.59,0.0,2.0,116698.68846153846,53072.901538461534,0,-169771.59,0.0,0,26103,5510846318.73,211119.270533272,False,True,False,False,False,0
85421.81,0.0,5.0,760436.6611111112,-675014.8511111112,0,-85421.81,0.0,0,26656,5024591202.61,188497.5691255252,False,True,False,False,False,0
556048.84,0.0,7.0,332936.74,223112.09999999998,0,-556048.84,0.0,0,30910,5608205263.28,181436.59861792298,False,False,False,False,True,0
220757.46,1.0,8.0,460968.61750000005,-240211.15750000006,0,-441514.9199999999,441514.9199999999,0,27727,5003598395.76,180459.42207090562,True,False,False,False,False,0
20986.57,0.0,1.0,161323.56,-140336.99,0,-0.009999999980209395,0.010000000009313226,0,37127,5531479167.98,148988.04557276375,False,True,False,False,False,0
94153.42,0.0,4.0,404541.205,-310387.78500000003,0,-69533.42,0.0,0,28245,5640295178.53,199691.81017985483,False,True,False,False,False,0
12721.1,0.0,0.0,0.0,12721.1,1,-12721.1,12721.1,1,41759,5847754144.07,140035.78016882588,False,False,False,True,False,0
